"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapping: Cancer Registry → Patient","Mapping: Mapping: Cancer Registry → EpisodeOfCare"
"CancerRegistry","CancerRegistry","","","",0,*,"","","","null {[]} {[]}
","Cancer Registry","Enrollment of the DHIS2 Cancer Registry tracker program. Captures core patient demographic information required to register an individual in the cancer registry, aligned with the IARC standard data requirements for population-based cancer registration. The tracked entity type is 'Person'. The Patient ID is automatically generated at enrollment using the pattern CURRENT_DATE(yyyy)+SEQUENTIAL(####), following the CanReg5 convention.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CancerRegistry.crPatientId","CancerRegistry.crPatientId","","","",1,1,"","","","string {[]} {[]}
","CR - Patient ID","CR - Patient ID","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-tracked-entity-attributes-cs#hDEhIMZe07x
",,,,"CancerRegistry.crPatientId",1,1,"","","Patient.identifier.where(type.coding.code='MR').value","EpisodeOfCare.patient"
"CancerRegistry.familyName","CancerRegistry.familyName","","","",1,1,"","","","string {[]} {[]}
","Family name or last name of the person or case.","Family name or last name of the person or case.","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-tracked-entity-attributes-cs#nJsmdQXRoze
",,,,"CancerRegistry.familyName",1,1,"","","Patient.name.family"
"CancerRegistry.givenName","CancerRegistry.givenName","","","",0,1,"","","","string {[]} {[]}
","Given name or first name of the person or case.","Given name or first name of the person or case.","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-tracked-entity-attributes-cs#sB1IHYu2xQT
",,,,"CancerRegistry.givenName",0,1,"","","Patient.name.given"
"CancerRegistry.crSex","CancerRegistry.crSex","","","",1,1,"","","","code {[]} {[]}
","CR - Sex","CR - Sex","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRSexVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-tracked-entity-attributes-cs#m7GEZG8cyCO
",,,,"CancerRegistry.crSex",1,1,"","","Patient.gender"
"CancerRegistry.dateOfBirth","CancerRegistry.dateOfBirth","","","",1,1,"","","","date {[]} {[]}
","Date of birth. This field can also be used when the date of birth is estimated, in conjunction with another attribute that indicates whether the birth date is estimated.","Date of birth. This field can also be used when the date of birth is estimated, in conjunction with another attribute that indicates whether the birth date is estimated.","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-tracked-entity-attributes-cs#NI0QRzJvQ0k
",,,,"CancerRegistry.dateOfBirth",1,1,"","","Patient.birthDate"
"CancerRegistry.tumor","CancerRegistry.tumor","","","",0,*,"","","","https://dhis2.org/fhir/cancer-registry/StructureDefinition/Tumor {[]} {[]}
","Tumor","Tumor","","","","","","","","","",,,,,"",,,,"CancerRegistry.tumor",0,*,"","","EpisodeOfCare.diagnosis"
"CancerRegistry.source","CancerRegistry.source","","","",0,*,"","","","https://dhis2.org/fhir/cancer-registry/StructureDefinition/Source {[]} {[]}
","Source","Source","","","","","","","","","",,,,,"",,,,"CancerRegistry.source",0,*,"","","EpisodeOfCare"
"CancerRegistry.followUp","CancerRegistry.followUp","","","",0,*,"","","","https://dhis2.org/fhir/cancer-registry/StructureDefinition/FollowUp {[]} {[]}
","Follow up","Follow up","","","","","","","","","",,,,,"",,,,"CancerRegistry.followUp",0,*,"","","EpisodeOfCare"
